gfx,cu_num,M,N,K,a_dtype,b_dtype,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1536,6144,fp8,fp8,flydsl,-1,2,11.182910,flydsl_mxpsh_32x32x256_F8_F8_B16_w4_x0_sk2,1.6878,844.7175,0.0
gfx950,256,1,2304,6144,fp8,fp8,flydsl,-1,6,10.646501,flydsl_mxpsh_32x32x256_F8_F8_B16_w1_x4_sk6,2.6592,1330.6276,0.0
gfx950,256,1,2560,6144,fp8,fp8,flydsl,-1,3,10.758500,flydsl_mxpsh_32x16x256_F8_F8_B16_w0_x4_sk3,2.9239,1463.0203,0.0
gfx950,256,1,6144,768,fp8,fp8,flydsl,-1,1,9.819700,flydsl_mxpsh_64x128x128_F8_F8_B16_w0_x0_sk1,0.9610,481.8526,0.0
gfx950,256,1,6144,2048,fp8,fp8,flydsl,-1,1,9.472090,flydsl_mxpsh_32x32x256_F8_F8_B16_w4_x0_sk1,2.6568,1329.9333,0.0
gfx950,256,1,6144,3072,fp8,fp8,flydsl,-1,1,9.498090,flydsl_mxpsh_32x32x256_F8_F8_B16_w2_x4_sk1,3.9744,1988.7922,0.0
gfx950,256,1,6144,6144,fp8,fp8,flydsl,-1,8,13.511730,flydsl_mxpsh_32x32x256_F8_F8_B16_w3_x0_sk8,5.5876,2795.1392,0.0
gfx950,256,2,1536,6144,fp8,fp8,flydsl,-1,3,11.592510,flydsl_mxpsh_32x32x256_F8_F8_B16_w4_x0_sk3,3.2563,815.6660,0.0
gfx950,256,2,2304,6144,fp8,fp8,flydsl,-1,3,10.730100,flydsl_mxpsh_32x16x256_F8_F8_B16_w2_x0_sk3,5.2770,1321.2627,0.0
gfx950,256,2,2560,6144,fp8,fp8,flydsl,-1,3,10.981710,flydsl_mxpsh_32x16x256_F8_F8_B16_w0_x4_sk3,5.7290,1434.3092,0.0
gfx950,256,2,6144,768,fp8,fp8,flydsl,-1,1,9.797690,flydsl_mxpsh_64x128x256_F8_F8_B16_w0_x0_sk1,1.9264,484.2676,0.0
gfx950,256,2,6144,2048,fp8,fp8,flydsl,-1,1,9.441690,flydsl_mxpsh_32x32x256_F8_F8_B16_w1_x4_sk1,5.3308,1335.7338,0.0
gfx950,256,2,6144,3072,fp8,fp8,flydsl,-1,1,9.604490,flydsl_mxpsh_32x32x256_F8_F8_B16_w3_x4_sk1,7.8606,1968.3594,0.0
gfx950,256,2,6144,6144,fp8,fp8,flydsl,-1,4,13.631330,flydsl_mxpsh_32x32x256_F8_F8_B16_w4_x0_sk4,11.0771,2771.9673,0.0
gfx950,256,4,1536,6144,fp8,fp8,flydsl,-1,3,11.381720,flydsl_mxpsh_32x32x256_F8_F8_B16_w2_x0_sk3,6.6332,832.3916,0.0
gfx950,256,4,2304,6144,fp8,fp8,flydsl,-1,6,11.295720,flydsl_mxpsh_32x32x256_F8_F8_B16_w3_x4_sk6,10.0256,1257.0056,0.0
gfx950,256,4,2560,6144,fp8,fp8,flydsl,-1,3,11.278110,flydsl_mxpsh_32x16x256_F8_F8_B16_w4_x0_sk3,11.1569,1398.6117,0.0
gfx950,256,4,6144,768,fp8,fp8,flydsl,-1,1,9.803700,flydsl_mxpsh_32x32x128_F8_F8_B16_w1_x4_sk1,3.8505,486.6342,0.0
